
,aX,aY,aZ,roll,pitch,yaw
12,-0.017450919289498285,-0.7397739773977398,1.0,-0.22624042624042623,0.0010335323840146991,0.9340182076338428
13,1.0,-1.0,1.0,-0.2933066933066933,0.13883785025264125,0.9465463960577967
14,-0.412277968214397,-1.0,1.0,-0.2933066933066933,0.13883785025264125,0.9465463960577967
15,-0.412277968214397,-1.0,0.20782078207820784,-0.48864468864468863,-0.3179834634818558,0.9939029483003424
16,-0.6625116858834528,-0.6092609260926093,-0.5842584258425843,-0.8395604395604396,-0.1681212677997244,0.9939029483003424
17,0.47491430352134617,-0.6092609260926093,-0.5842584258425843,-0.8395604395604396,-0.1681212677997244,1.0
18,0.47491430352134617,-0.12471247124712473,-0.6116611661166117,-0.56010656010656,1.0,0.9803725048024722
19,0.06325958242443128,0.24652465246524652,-0.5996599659965997,1.0,1.0,0.9803725048024722
20,0.03645995637270177,0.24652465246524652,-0.5996599659965997,1.0,0.11954524575103354,0.9866365990144491
21,0.03645995637270177,0.4077407740774078,-0.25012501250125013,0.8431568431568431,0.06924666972898484,0.9874718115760461
22,0.24119663446556558,0.4895489548954896,-0.09430943094309431,0.6786546786546787,0.06924666972898484,0.9874718115760461
23,0.12527267061389838,0.4895489548954896,-0.09430943094309431,0.6786546786546787,0.4064079007808912,0.9835463125365406
24,0.12527267061389838,0.4898489848984898,-0.13181318131813183,0.6857142857142856,0.25068902158934314,0.9835463125365406

0,-0.09024856596558317,-0.26622662266226627,0.4192419241924193,-0.23475453144492547,-0.02204510768187214,0.9394162977537301
1,-0.06233269598470363,-0.26622662266226627,0.4192419241924193,-0.23475453144492547,-0.02204510768187214,0.9377766847024102
2,-0.06233269598470363,-0.26782678267826787,0.4224422442244225,-0.2372495780435899,-0.015516364253010007,0.9360550909985244
3,-0.02523900573613767,-0.2757275727572757,0.42824282428242827,-0.23959785719527407,-0.009496354078344923,0.9360550909985244
4,-0.03824091778202677,-0.2757275727572757,0.42824282428242827,-0.23959785719527407,-0.009496354078344923,0.9335956714215444
5,-0.03824091778202677,-0.25902590259025904,0.3813381338133814,-0.24979819476040213,-0.022469052060369678,0.9337596327266765
6,0.014149139579349905,-0.27842784278427846,0.39823982398239827,-0.25508182285169145,0.00525691029336951,0.9343334972946384
7,0.043594646271510516,-0.27842784278427846,0.39823982398239827,-0.25508182285169145,0.00525691029336951,0.9343334972946384
8,0.043594646271510516,-0.29672967296729674,0.3677367736773678,-0.2798121376678653,0.018483974902492796,0.9372848007870143
9,-0.0734225621414914,-0.3302330233023303,0.3924392439243925,-0.2918470683202466,-0.017720875021197218,0.9390883751434661
10,0.05736137667304016,-0.3302330233023303,0.3924392439243925,-0.2918470683202466,-0.017720875021197218,0.9390883751434661
11,0.05736137667304016,-0.3805380538053805,0.3801380138013801,-0.3242826741028839,0.018483974902492796,0.941629775373012
12,0.3678776290630975,-0.45464546454645466,0.40784078407840785,-0.3548836867982681,0.06859420044090216,0.9440072142974258
13,-0.06998087954110899,-0.5710571057105711,0.40784078407840785,-0.3548836867982681,0.06859420044090216,0.9440072142974258
14,-0.06998087954110899,-0.5710571057105711,0.9482948294829483,-0.25023849710134294,-0.02153637442767509,0.9449909821282176
15,0.7307839388145315,-0.9448944894489449,1.0,-0.30072649886255226,0.06571137866711887,0.9601574028529267
16,0.19579349904397708,-0.9448944894489449,1.0,-0.30072649886255226,0.06571137866711887,0.9601574028529267
17,0.19579349904397708,-1.0,0.9117911791179119,-0.33624422103177515,0.018399186026793284,0.9785210690277094
18,-0.6665391969407266,-1.0,-0.0011001100110011003,-0.6025537535774564,-0.5329828726471088,1.0
19,1.0,-1.0,-0.0011001100110011003,-0.6025537535774564,-0.5329828726471088,1.0
20,1.0,-0.5691569156915691,-0.7482748274827482,-1.0,0.16194675258606073,0.9878668634202328
21,0.631357552581262,0.04580458045804581,-0.7007700770077008,0.26330079988258603,1.0,0.9795048368585014
22,-0.3235181644359465,0.04580458045804581,-0.7007700770077008,0.26330079988258603,1.0,0.9795048368585014
23,-0.3235181644359465,0.4395439543954396,-0.27322732273227324,0.904527775739341,-0.15092419874512464,0.9918019347434005
